Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR15343707,2022-05-17 10:42:07,2021-08-07 23:16:40,88373,53023800,88373,600,32,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR015/15343/SRR15343707/SRR15343707.lite.1,SRX11648007,BOL-01_16S,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP328874,PRJNA747886,,747886,SRS9532049,SAMN20299328,simple,410658,soil metagenome,BOL-01,,,,,,,no,,,,,FIBL,SRA1263784,,public,7059B22215F59A09A56B832690A74A59,76F669BB44D4846829DED7820E05041C
SRR15343708,2022-05-17 10:42:07,2021-08-07 23:16:49,62739,37643400,62739,600,23,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR015/15343/SRR15343708/SRR15343708.lite.1,SRX11648006,BOL-02_16S,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP328874,PRJNA747886,,747886,SRS9532050,SAMN20299329,simple,410658,soil metagenome,BOL-02,,,,,,,no,,,,,FIBL,SRA1263784,,public,CE5A3CB4D3A5F3B75B991E3D9B9DEB5B,498822763F5FEE885D58ECFA9A96151F
SRR15343720,2022-05-17 10:42:06,2021-08-07 23:16:55,72829,43697400,72829,600,26,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR015/15343/SRR15343720/SRR15343720.lite.1,SRX11647994,BOL-04_16S,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP328874,PRJNA747886,,747886,SRS9532072,SAMN20299331,simple,410658,soil metagenome,BOL-04,,,,,,,no,,,,,FIBL,SRA1263784,,public,9249E0C9B7E870B887C515B29FBEEE4C,39CC16C30D0305EF5C0832EAC75F4430
SRR15343725,2022-05-17 10:42:06,2021-08-07 23:17:00,63718,38230800,63718,600,23,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR015/15343/SRR15343725/SRR15343725.lite.1,SRX11647989,BOL-05_16S,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP328874,PRJNA747886,,747886,SRS9532083,SAMN20299332,simple,410658,soil metagenome,BOL-05,,,,,,,no,,,,,FIBL,SRA1263784,,public,B40F2F796C23D49D93BC9597AB897293,E4B99F0AC4B0449BF904302DEA1F92DF
SRR15343757,2022-05-17 10:42:06,2021-08-07 23:17:24,66149,39689400,66149,600,24,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR015/15343/SRR15343757/SRR15343757.lite.1,SRX11647957,BOL-06_16S,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP328874,PRJNA747886,,747886,SRS9532094,SAMN20299333,simple,410658,soil metagenome,BOL-06,,,,,,,no,,,,,FIBL,SRA1263784,,public,3F4691CFBBADB3076B5DAE517BFB99AA,59C781463067567A04EE1283A7F23430
SRR15343736,2022-05-17 10:42:06,2021-08-07 23:17:06,75669,45401400,75669,600,27,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR015/15343/SRR15343736/SRR15343736.lite.1,SRX11647978,BOL-11_16S,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP328874,PRJNA747886,,747886,SRS9532051,SAMN20299338,simple,410658,soil metagenome,BOL-11,,,,,,,no,,,,,FIBL,SRA1263784,,public,935AB43E8CD4C03250E5352E35558DE6,F911DC50E062B70BB5B68D9186753985
SRR15343737,2022-05-17 10:42:06,2021-08-07 23:17:10,58113,34867800,58113,600,21,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR015/15343/SRR15343737/SRR15343737.lite.1,SRX11647977,BOL-12_16S,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP328874,PRJNA747886,,747886,SRS9532052,SAMN20299339,simple,410658,soil metagenome,BOL-12,,,,,,,no,,,,,FIBL,SRA1263784,,public,F80A02B1C6619D55E0BC2D2328945D0C,75DB77A79024836A4F3763E6EB8F7FE5
SRR15343709,2022-05-17 10:42:07,2021-08-07 23:16:39,62101,37260600,62101,600,22,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR015/15343/SRR15343709/SRR15343709.lite.1,SRX11648005,BOL-13_16S,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP328874,PRJNA747886,,747886,SRS9532053,SAMN20299340,simple,410658,soil metagenome,BOL-13,,,,,,,no,,,,,FIBL,SRA1263784,,public,4808063FD851598FC4E7D6F54EB376EC,C722A425BCBB74A189FD1D3C652705EE
SRR15343710,2022-05-17 10:42:07,2021-08-07 23:16:51,47681,28608600,47681,600,17,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR015/15343/SRR15343710/SRR15343710.lite.1,SRX11648004,BOL-14_16S,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP328874,PRJNA747886,,747886,SRS9532054,SAMN20299341,simple,410658,soil metagenome,BOL-14,,,,,,,no,,,,,FIBL,SRA1263784,,public,55162B0CC6072905944DF2026399E855,509F5343FB59BEF4F1E55DB3C5722E80
SRR15343711,2022-05-17 10:42:07,2021-08-07 23:16:40,71178,42706800,71178,600,26,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR015/15343/SRR15343711/SRR15343711.lite.1,SRX11648003,BOL-15_16S,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP328874,PRJNA747886,,747886,SRS9532055,SAMN20299342,simple,410658,soil metagenome,BOL-15,,,,,,,no,,,,,FIBL,SRA1263784,,public,DEF3400CB994B34B467985FFBE713C7B,CA8C4BA347B92726A3501799B8BBA252
SRR15343712,2022-05-17 10:42:07,2021-08-07 23:16:47,62730,37638000,62730,600,23,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR015/15343/SRR15343712/SRR15343712.lite.1,SRX11648002,BOL-16_16S,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP328874,PRJNA747886,,747886,SRS9532056,SAMN20299343,simple,410658,soil metagenome,BOL-16,,,,,,,no,,,,,FIBL,SRA1263784,,public,A5DF1C6E41F9EA607C544494F9ED9D34,26D2AA79E6F8936C886F37717F348A57
